"Name","Event Type","Description","Contact URL","Booking URL","Contact Phone Number","Booking Phone Number","Venue Name","Address","County","Latitude","Longitude","Is Free To Visit","Price","Start Date","End Date","Start Time","End Time","Recurring Dates"
"Singin' in the Rain","Event","Based on the classic 1952 Metro-Goldwyn-Mayer film, this all-singing, all-dancing musical is set in the late 1920s and captures the magic of Hollywood's transition from silent films to ""talkies."" Enjoy timeless hits like ‘Good Morning,’ ‘Make ’Em Laugh,’ ‘You Are My Lucky Star,’ and, of course, the iconic ‘Singin’ in the Rain.’

Fri 04 - Sun 06 Oct at 19:00 + Sat 05 & Sun 06 Oct at 14:00

Under 16 yrs accompanied by an adult.

Readers are advised to check with the venue before relying on the details published here.","https://thehelix.ie/what-s-on/all-events/singin-in-the-rain-sean-gilligan-performing-art/","https://thehelix.ticketsolve.com/ticketbooth/shows/1173656290","0035317007000","","The Helix","The Helix, Collins Ave, Whitehall, Dublin","Dublin","53.3864373","-6.259149400000001","No","27","06/10/2024","06/10/2024","20:00",,"Yes"
"Singin' in the Rain","Event","Based on the classic 1952 Metro-Goldwyn-Mayer film, this all-singing, all-dancing musical is set in the late 1920s and captures the magic of Hollywood's transition from silent films to ""talkies."" Enjoy timeless hits like ‘Good Morning,’ ‘Make ’Em Laugh,’ ‘You Are My Lucky Star,’ and, of course, the iconic ‘Singin’ in the Rain.’

Fri 04 - Sun 06 Oct at 19:00 + Sat 05 & Sun 06 Oct at 14:00

Under 16 yrs accompanied by an adult.

Readers are advised to check with the venue before relying on the details published here.","https://thehelix.ie/what-s-on/all-events/singin-in-the-rain-sean-gilligan-performing-art/","https://thehelix.ticketsolve.com/ticketbooth/shows/1173656290","0035317007000","","The Helix","The Helix, Collins Ave, Whitehall, Dublin","Dublin","53.3864373","-6.259149400000001","No","27","05/10/2024","05/10/2024","20:00",,"Yes"
"Singin' in the Rain","Event","Based on the classic 1952 Metro-Goldwyn-Mayer film, this all-singing, all-dancing musical is set in the late 1920s and captures the magic of Hollywood's transition from silent films to ""talkies."" Enjoy timeless hits like ‘Good Morning,’ ‘Make ’Em Laugh,’ ‘You Are My Lucky Star,’ and, of course, the iconic ‘Singin’ in the Rain.’

Fri 04 - Sun 06 Oct at 19:00 + Sat 05 & Sun 06 Oct at 14:00

Under 16 yrs accompanied by an adult.

Readers are advised to check with the venue before relying on the details published here.","https://thehelix.ie/what-s-on/all-events/singin-in-the-rain-sean-gilligan-performing-art/","https://thehelix.ticketsolve.com/ticketbooth/shows/1173656290","0035317007000","","The Helix","The Helix, Collins Ave, Whitehall, Dublin","Dublin","53.3864373","-6.259149400000001","No","27","04/10/2024","04/10/2024","20:00",,"Yes"
"Longford Flower Club Christmas Gala","Event","The horticultural experts of Longford Flower Club bring their annual Christmas Gala to Backstage Theatre. This year they have National and award winning demonstrator Christopher White for the occasion. 

All proceeds in aid of local charities.

Readers are advised to check with the venue before relying on the details published here. ","https://backstage.ie/events/longford-flower-club-christmas-gala/","https://backstage.ticketsolve.com/ticketbooth/shows/1173655865","00353433347888","00353433347888","Backstage Theatre","Backstage Theatre, Farneyhoogan, Farranyoogan, Longford","Longford","53.7155877","-7.7996963","No","15","10/12/2024","10/12/2024",,,"No"
"Claudia Buckley & Louise Morrissey","Event","Claudia Buckley, daughter of the famous Jimmy, grew up immersed in country music and her own unique sound, a blend of traditional country, pop & bluegrass speaks to this.

She has just been awarded the ‘Female Vocalist of the Year for 2024’ at the Hot Country Music Awards, one of the youngest ever recipients of this special recognition.

In the space of just two years Claudia has had 6 number one singles in the Country Charts in Ireland, and her recent self-penned single “Honey Bee” made the top 10 in the Irish pop charts. Claudia is currently working on her second studio album set for release this year and cannot wait to embark on her tour all over Ireland and the UK.","https://backstage.ie/events/claudia-buckley/","https://backstage.ticketsolve.com/ticketbooth/shows/1173655748","00353433347888","00353433347888","Backstage Theatre","Backstage Theatre, Farneyhoogan, Farranyoogan, Longford","Longford","53.7155877","-7.7996963","No","25","06/12/2024","06/12/2024",,,"No"
"Declan's Got Talent","Event","Declan lives on his own, but he is not alone. He wants to prove to himself and his constant companion that he has got what it takes. After years of suffering from a lack of confidence, he’s decided to “Go for it!”

Fight2Flight Theatre’s latest offering is Declan’s Got Talent: a new dark comedy for two actors by Peter Gowen. We see Declan trying to prepare for his upcoming audition on a talent show, but there is someone else there.

And as Declan tries to silence this other voice we are dragged back into East Cork/West Waterford in the late Sixties. We follow Declan attempts to enter the Church, cope with his infatuations and watch him triumph over this negative friend.","https://backstage.ie/events/declans-got-talent/","https://backstage.ticketsolve.com/ticketbooth/shows/1173655740","00353433347888","00353433347888","Backstage Theatre","Backstage Theatre, Farneyhoogan, Farranyoogan, Longford","Longford","53.7155877","-7.7996963","No","18","05/11/2024","05/11/2024",,,"No"
"James Vincent McMorrow","Event","James Vincent McMorrow has beckoned listeners to open their minds and hearts since his emergence in 2010. Along the way, he gathered over 1 billion streams across an expansive catalog. Among many standouts, “Higher Love” went BPI Gold in the UK and ARIA platinum in Australia. His cover of Chris Isaak’s “Wicked Game” soundtracked the trailer for Season Six of HBO’s Game of Thrones and generated over 130 million Spotify streams on its Live At Killkenny Arts Festival version. 

Toppling charts, 2016’s 'We Move' notably debuted at #1 in Ireland. At the same time, he lent his voice to “Hype” from Drake’s multiplatinum blockbuster Views, “I’m In Love” from Kygo’s Cloud Nine, and “Run Away” from dvsn’s Morning After, among others.","https://www.inec.ie/gigs/james-vincent-mcmorrow/","https://www.ticketmaster.ie/james-vincent-mcmorrow-co-kerry-30-11-2024/event/180060E3E352A2A3?_ga=2.242741250.1272508849.1726065139-1457663684.1726065139","00353646671555","00353646671555","Gleneagle INEC Arena","Gleneagle INEC Arena, Muckross Rd, Poulnamuck, Killarney, Kerry","Kerry","52.04446599999999","-9.502486","No","42.45","30/11/2024","30/11/2024",,,"No"
"Vittorio Angelone","Event","Having started comedy in 2018, Vittorio has already cultivated a huge online following from stand-up clips and podcasts, regularly amassing millions of views on various platforms. As well as co-hosting Mike & Vittorio’s Guide to Parenting alongside fellow comedian Mike Rice, he released his first comedy special in September 2023 which has already amassed over 100 thousand views. Wow! 

Following his 5-star, sold-out, award-nominated debut (which solved literally every problem in the world) his new show looks inward to find out who exactly he thinks he is. Credits as seen on the internet, unless your algorithm hasn’t blessed you thusly.

Readers are advised to check with the venue before relying on the details published here. ","https://www.inec.ie/gigs/vittorio-angelone/","https://www.ticketmaster.ie/vittorio-angelone-co-kerry-16-11-2024/event/180060B69A7D3C4D?_ga=2.248020551.1979722626.1726063194-770389408.1726063194","00353646671555","00353666471555","Gleneagle INEC Arena","Gleneagle INEC Arena, Muckross Rd, Poulnamuck, Killarney, Kerry","Kerry","52.04446599999999","-9.502486","No","31.25","16/11/2024","16/11/2024",,,"No"
"Gerry Guthrie","Event","Ballina based singer Gerry Guthrie has been fronting his own five piece touring Band since 2010. During this time he has toured extensively throughout Ireland. Gerry’s success, on the country music scene in England and Scotland, has in a relatively short time made him a household name in the UK. 

In the years preceding the launch of his own band, Gerry worked as a guitar player with several leading Irish artists including Country legends Sandy Kelly, Louise Morrissey, Martin Cuffe and Shawn Cuddy. He also pursued a hugely successful solo career, mainly in Connaught.

Readers are advised to check with the venue before relying on the details published here. ","https://www.inec.ie/gigs/gerry-guthrie-dance/","https://www.ticketmaster.ie/gerry-guthrie-dance-co-kerry-07-11-2024/event/18006117A4CB2A04?_ga=2.89421019.171831260.1726050681-1072092430.1726050680","00353646671555","00353646671555","Gleneagle INEC Arena","Gleneagle INEC Arena, Muckross Rd, Poulnamuck, Killarney, Kerry","Kerry","52.04446599999999","-9.502486","No","18.45","07/11/2024","07/11/2024",,,"No"
"Jack Keogh Dance","Event","Jack's music is a heartfelt tribute to his idols, including Johnny McEvoy, Luke Kelly, and The Dubliners, while also following the footsteps of contemporary Irish singers like Mike Denver, Jimmy Buckley and Michael English. His musical journey began with a family gifted recording session, leading to his first hit that still regularly graces radio airwaves (“Dreaming Of You”).

Readers are advised to check with the venue before relying on the details published here. ","https://www.inec.ie/gigs/jack-keogh-dance/","https://www.ticketmaster.ie/jack-keogh-dance-co-kerry-06-11-2024/event/18006117B7F036A4?_ga=2.68847187.312129683.1726050264-1798808916.1726050264","00353646671555","00353646671555","Gleneagle INEC Arena","Gleneagle INEC Arena, Muckross Rd, Poulnamuck, Killarney, Kerry","Kerry","52.04446599999999","-9.502486","No","18.45","06/11/2024","06/11/2024",,,"No"
